"date","currency","rate"
"2018-06-23",604,"0.9902"
"2018-06-23",605,"110.1477"
"2018-06-23",606,"0.7526"
"2018-06-23",608,"7.8462"
"2018-06-24",600,"1"
"2018-06-24",601,"0.8585"
"2018-06-24",602,"63.1279"
"2018-06-24",604,"0.9902"
"2018-06-24",605,"110.1477"
"2018-06-24",606,"0.7526"
"2018-06-24",608,"7.8462"
"2018-06-25",600,"1"
"2018-06-25",601,"0.8585"
"2018-06-25",602,"63.1279"
"2018-06-25",604,"0.9902"
"2018-06-25",605,"110.1477"
"2018-06-25",606,"0.7526"
"2018-06-25",608,"7.8462"
"2018-06-26",600,"1"
"2018-06-26",601,"0.8547"
"2018-06-26",602,"62.6817"
"2018-06-26",604,"0.9871"
"2018-06-26",605,"109.5812"
"2018-06-26",606,"0.7525"
"2018-06-26",608,"7.847"
"2018-06-27",600,"1"
"2018-06-27",601,"0.8568"
"2018-06-27",602,"62.9932"
"2018-06-27",604,"0.9889"
"2018-06-27",605,"109.6213"
"2018-06-27",606,"0.7553"
"2018-06-27",608,"7.8485"
"2018-06-28",600,"1"
"2018-06-28",601,"0.8609"
"2018-06-28",602,"63.1534"
"2018-06-28",604,"0.9931"
"2018-06-28",605,"110.2617"
"2018-06-28",606,"0.7591"
"2018-06-28",608,"7.8476"
"2018-06-29",600,"1"
"2018-06-29",601,"0.8633"
"2018-06-29",602,"63.1055"
"2018-06-29",604,"0.9977"
"2018-06-29",605,"110.1873"
"2018-06-29",606,"0.7642"
"2018-06-29",608,"7.8482"
"2018-06-30",600,"1"
"2018-06-30",601,"0.8578"
"2018-06-30",602,"62.7536"
"2018-06-30",604,"0.9924"
"2018-06-30",605,"110.6879"
"2018-06-30",606,"0.76"
"2018-06-30",608,"7.8459"
"2018-07-01",600,"1"
"2018-07-01",601,"0.8578"
"2018-07-01",602,"62.7536"
"2018-07-01",604,"0.9924"
"2018-07-01",605,"110.6879"
"2018-07-01",606,"0.76"
"2018-07-01",608,"7.8459"
"2018-07-02",600,"1"
"2018-07-02",601,"0.8578"
"2018-07-02",602,"62.7536"
"2018-07-02",604,"0.9924"
"2018-07-02",605,"110.6879"
"2018-07-02",606,"0.76"
"2018-07-02",608,"7.8459"
"2018-07-03",600,"1"
"2018-07-03",601,"0.8592"
"2018-07-03",602,"63.1232"
"2018-07-03",604,"0.9935"
"2018-07-03",605,"110.714"
"2018-07-03",606,"0.7617"
"2018-07-03",608,"7.8465"
"2018-07-04",600,"1"
"2018-07-04",601,"0.8573"
"2018-07-04",602,"63.1348"
"2018-07-04",604,"0.9921"
"2018-07-04",605,"110.6644"
"2018-07-04",606,"0.7574"
"2018-07-04",608,"7.8445"
"2018-07-05",600,"1"
"2018-07-05",601,"0.859"
"2018-07-05",602,"63.2749"
"2018-07-05",604,"0.9927"
"2018-07-05",605,"110.4965"
"2018-07-05",606,"0.7568"
"2018-07-05",608,"7.8429"
"2018-07-06",600,"1"
"2018-07-06",601,"0.854"
"2018-07-06",602,"63.0102"
"2018-07-06",604,"0.9918"
"2018-07-06",605,"110.6243"
"2018-07-06",606,"0.7542"
"2018-07-06",608,"7.8476"
"2018-07-07",600,"1"
"2018-07-07",601,"0.853"
"2018-07-07",602,"63.1615"
"2018-07-07",604,"0.9923"
"2018-07-07",605,"110.5851"
"2018-07-07",606,"0.7557"
"2018-07-07",608,"7.8483"
"2018-07-08",600,"1"
"2018-07-08",601,"0.853"
"2018-07-08",602,"63.1615"
"2018-07-08",604,"0.9923"
"2018-07-08",605,"110.5851"
"2018-07-08",606,"0.7557"
"2018-07-08",608,"7.8483"
"2018-07-09",600,"1"
"2018-07-09",601,"0.853"
"2018-07-09",602,"63.1615"
"2018-07-09",604,"0.9923"
"2018-07-09",605,"110.5851"
"2018-07-09",606,"0.7557"
"2018-07-09",608,"7.8483"
"2018-07-10",600,"1"
"2018-07-10",601,"0.8482"
"2018-07-10",602,"62.6772"
"2018-07-10",604,"0.9879"
"2018-07-10",605,"110.4504"
"2018-07-10",606,"0.7494"
"2018-07-10",608,"7.8485"
"2018-07-11",600,"1"
"2018-07-11",601,"0.8538"
"2018-07-11",602,"62.5463"
"2018-07-11",604,"0.9945"
"2018-07-11",605,"111.2439"
